First_Term_Gpa,Second_Term_Gpa,First_Language,Funding,FastTrack,Coop,Residency,Gender,Previous_Education,Age_Group,Math_Score,English_Grade,First_Year_Persistence
0.714286,0.0,3,4.0,0,0,1,2.0,1,3,32.6760710553814,8,0.0
3.825,3.225,4,4.0,1,1,1,2.0,2,3,32.6760710553814,5,1.0
3.5,4.02,3,4.0,0,1,1,2.0,2,3,32.6760710553814,10,1.0
4.130435,4.02381,4,4.0,1,1,1,1.0,1,3,42.0,8,1.0
2.921053,2.0,3,4.0,0,0,1,2.0,1,3,32.6760710553814,8,1.0
3.5,3.911765,4,4.0,1,0,1,2.0,1,5,35.0,9,1.0
1.94,2.5,1,2.0,1,1,0,2.0,1,1,36.0,7,1.0
3.5,2.934783,1,2.0,1,1,0,2.0,1,1,28.0,9,1.0
2.8,2.8201755787000775,1,2.0,1,1,0,2.0,1,1,23.0,9,0.0
2.97619,3.363636,1,8.0,1,1,0,2.0,0,6,30.0,9,1.0
4.086957,3.590909,3,4.0,1,1,1,1.0,1,3,32.6760710553814,3,1.0
4.285714,3.886364,3,4.0,1,1,1,2.0,1,2,44.0,10,1.0
2.852941,2.880952,1,2.0,1,0,0,2.0,2,1,25.0,7,1.0
2.404762,2.041667,1,2.0,1,1,0,2.0,0,1,32.6760710553814,9,1.0
3.055556,3.480769,3,4.0,0,1,1,2.0,1,3,32.6760710553814,7,1.0
2.7,1.815789,1,2.0,1,0,0,2.0,1,2,32.0,9,1.0
3.666667,3.58,3,4.0,0,1,1,1.0,1,4,32.6760710553814,9,1.0
2.847826,3.428571,3,4.0,1,1,1,1.0,1,2,32.0,8,1.0
2.921053,3.846154,1,2.0,1,0,0,1.0,2,3,43.0,9,1.0
2.880952,2.666667,3,4.0,1,1,1,2.0,2,3,37.0,4,1.0
0.230769,2.8201755787000775,3,4.0,1,1,1,2.0,1,2,39.0,2,0.0
1.954545,3.125,1,2.0,1,1,0,2.0,1,3,33.0,4,1.0
2.795455,2.543478,1,2.0,1,0,0,2.0,1,1,32.6760710553814,5,1.0
2.2,1.47619,1,2.0,1,1,0,2.0,1,1,23.0,7,1.0
0.0,2.8201755787000775,3,4.0,1,1,1,2.0,0,1,48.0,8,0.0
2.388889,2.7,3,2.0,1,1,0,2.0,1,2,34.0,9,0.0
3.56,3.175,1,2.0,1,1,0,2.0,1,1,34.0,9,1.0
3.458333,3.38,4,4.0,1,0,1,1.0,1,2,32.6760710553814,5,1.0
0.45,2.8201755787000775,1,2.0,1,1,0,2.0,1,2,23.0,7,0.0
2.1,2.8201755787000775,1,2.0,1,1,0,2.0,0,1,25.0,9,0.0
0.375,0.0,3,4.0,1,1,1,2.0,2,1,37.0,8,0.0
1.979167,1.605263,1,2.0,1,1,0,2.0,1,1,27.0,9,1.0
4.086957,3.673077,1,1.0,1,0,0,2.0,1,1,31.0,9,1.0
4.23913,2.8201755787000775,1,2.0,1,1,0,1.0,2,3,45.0,9,0.0
2.23913,3.095238,3,2.0,1,1,0,2.0,1,1,38.0,8,1.0
3.652174,3.625,3,4.0,1,0,1,1.0,2,1,47.0,9,1.0
3.68,3.68,3,4.0,0,1,1,1.0,1,3,32.6760710553814,8,1.0
4.043478,2.8201755787000775,3,4.0,1,1,1,1.0,1,2,46.0,9,0.0
3.086957,2.875,1,2.0,1,1,0,2.0,1,1,31.0,9,1.0
3.681818,2.021739,4,4.0,1,0,1,2.0,1,5,22.0,10,1.0
3.022727,2.8201755787000775,1,2.0,1,1,0,2.0,1,1,16.0,9,0.0
3.44,3.23913,1,2.0,1,1,0,2.0,1,1,24.0,7,1.0
0.0,2.8201755787000775,4,4.0,1,1,1,2.0,1,2,38.0,4,0.0
2.545455,2.842105,1,2.0,1,0,0,1.0,1,2,24.0,7,1.0
1.34,0.3,1,2.0,1,1,0,2.0,1,1,20.0,3,1.0
2.730769,3.882353,1,2.0,1,0,0,1.0,1,3,29.0,7,1.0
0.46,2.84375,3,4.0,1,1,1,2.0,1,2,17.0,7,1.0
2.275,1.233333,1,2.0,1,0,0,2.0,1,3,24.0,7,1.0
4.282609,4.238095,3,2.0,1,1,0,2.0,2,7,48.0,8,1.0
3.916667,3.979167,1,2.0,1,0,0,1.0,1,4,50.0,8,1.0
3.464286,3.470588,3,4.0,1,1,1,2.0,1,2,38.0,8,1.0
4.275,4.363636,1,2.0,1,0,0,2.0,2,4,47.0,9,1.0
3.82,3.6,1,2.0,1,1,0,2.0,2,3,30.0,9,0.0
2.26,2.076923,3,4.0,0,1,1,1.0,2,3,32.6760710553814,8,1.0
4.225,3.911765,1,2.0,1,1,0,2.0,2,7,35.0,8,1.0
1.727273,1.9,1,2.0,1,0,0,2.0,1,3,37.0,9,1.0
3.272727,2.608696,1,2.0,1,0,0,2.0,2,1,32.6760710553814,5,1.0
